configuration_id,arm,pool,objective_value,optimality_bound,optimality_ratio,computable
A3_l0.2_r0.5_k16,A3,cosine_top_100,7.0318430185317995,7.083651221095468,0.9926862290439454,True
A3_l0.2_r1.0_k02,A3,cosine_top_100,5.444364720582962,5.455222571404144,0.9980096410954711,True
A3_l0.2_r1.0_k04,A3,cosine_top_100,5.8290907621383665,5.873352909088134,0.9924639047517001,True
A3_l0.2_r1.0_k08,A3,cosine_top_100,6.320109167695046,6.339775317648036,0.9968979736713625,True
A3_l0.2_r1.0_k16,A3,cosine_top_100,7.070803844928742,7.152102105790486,0.988632955785695,True
A3_l0.3_r0.0_k02,A3,cosine_top_100,4.822035616636276,4.8538120237142675,0.9934533090851599,True
A3_l0.3_r0.0_k04,A3,cosine_top_100,5.630415630340576,5.767434140532423,0.9762427265135276,True
A3_l0.3_r0.0_k08,A3,cosine_top_100,6.087640517950058,6.335939884885064,0.9608109654690151,True
A3_l0.3_r0.0_k16,A3,cosine_top_100,6.638730943202972,6.819617368527992,0.9734755756005027,True
A3_l0.3_r0.5_k02,A3,cosine_top_100,5.525568491220474,5.627993073345909,0.9818008691925162,True
A3_l0.3_r0.5_k04,A3,cosine_top_100,6.207543951272965,6.255849023377015,0.992278414660657,True
A3_l0.3_r0.5_k08,A3,cosine_top_100,7.028399319946766,7.062174128445702,0.995217505560661,True
A3_l0.3_r0.5_k16,A3,cosine_top_100,8.1318430185318,8.196371033522198,0.9921272457375971,True
A3_l0.3_r1.0_k02,A3,cosine_top_100,5.644364720582962,5.655222571404143,0.9980800312129032,True
A3_l0.3_r1.0_k04,A3,cosine_top_100,6.229090762138367,6.273352909088135,0.9929444194211288,True
A3_l0.3_r1.0_k08,A3,cosine_top_100,6.99247375279665,7.034701325173398,0.9939972472995211,True
A3_l0.3_r1.0_k16,A3,cosine_top_100,8.270803844928741,8.370405105021451,0.9881007837920582,True
A3_l0.4_r0.0_k02,A3,cosine_top_100,5.022035616636276,5.053812023714268,0.9937123884052502,True
A3_l0.4_r0.0_k04,A3,cosine_top_100,6.030415630340576,6.167434140532422,0.9777835470846199,True
A3_l0.4_r0.0_k08,A3,cosine_top_100,6.887640517950058,7.1359398848850635,0.9652043920015444,True
A3_l0.4_r0.0_k16,A3,cosine_top_100,7.702343904972077,7.707750912158044,0.9992984974154473,True
A3_l0.4_r0.5_k02,A3,cosine_top_100,5.725568491220474,5.827993073345909,0.9824254111430109,True
A3_l0.4_r0.5_k04,A3,cosine_top_100,6.607543951272964,6.655849023377015,0.9927424627670502,True
A3_l0.4_r0.5_k08,A3,cosine_top_100,7.828399319946766,7.862174128445702,0.9957041388365164,True
A3_l0.4_r0.5_k16,A3,cosine_top_100,9.194966220855713,9.358028313163896,0.9825751657452453,True
A3_l0.4_r1.0_k02,A3,cosine_top_100,5.844364720582962,5.855222571404143,0.9981456126238123,True
A3_l0.4_r1.0_k04,A3,cosine_top_100,6.629090762138366,6.673352909088134,0.9933673301033594,True
A3_l0.4_r1.0_k08,A3,cosine_top_100,7.733638127148152,7.846129000463405,0.9856628825107758,True
A3_l0.4_r1.0_k16,A3,cosine_top_100,9.470803844928742,9.592468427157144,0.9873166554414755,True
A3_l0.5_r0.0_k02,A3,cosine_top_100,5.222035616636276,5.253812023714268,0.9939517426709289,True
A3_l0.5_r0.0_k04,A3,cosine_top_100,6.430415630340576,6.567434140532423,0.9791366754108419,True
A3_l0.5_r0.0_k08,A3,cosine_top_100,7.687640517950058,7.935939884885063,0.9687120403459808,True
A3_l0.5_r0.0_k16,A3,cosine_top_100,8.802343904972076,8.807750912158044,0.9993861080723225,True
A3_l0.5_r0.5_k02,A3,cosine_top_100,5.934656798839569,5.975032547110283,0.9932425893997446,True
A3_l0.5_r0.5_k04,A3,cosine_top_100,7.0075439512729645,7.055849023377015,0.9931538965836699,True
A3_l0.5_r0.5_k08,A3,cosine_top_100,8.628399319946766,8.6621741284457,0.9961008855284932,True
A3_l0.5_r0.5_k16,A3,cosine_top_100,10.756079584360123,10.761010075166832,0.9995418189582327,True
A3_l0.5_r1.0_k02,A3,cosine_top_100,6.044364720582962,6.055222571404143,0.9982068618133944,True
A3_l0.5_r1.0_k04,A3,cosine_top_100,7.029090762138367,7.073352909088134,0.9937424093610686,True
A3_l0.5_r1.0_k08,A3,cosine_top_100,8.533638127148151,8.646129000463404,0.9869894523538542,True
A3_l0.5_r1.0_k16,A3,cosine_top_100,10.670803844928741,10.817485946428341,0.9864402780622026,True
A3_l0.6_r0.0_k02,A3,cosine_top_100,5.422035616636276,5.453812023714268,0.994173541929971,True
A3_l0.6_r0.0_k04,A3,cosine_top_100,6.8304156303405765,6.967434140532423,0.9803344376956857,True
