configuration_id,arm,step,candidate_id,source_turn,additive_chars,cumulative_chars,scaled_gain,facts_available,domains_available
A1_l0.9,A1,11,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,3000,31957,0.22388423308730127,7,3
A1_l1.0,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.5341364145278931,0,0
A1_l1.0,A1,2,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,1716,0.4941784143447876,0,0
A1_l1.0,A1,3,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,2080,0.49203765392303467,0,0
A1_l1.0,A1,4,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,6297,0.40216222405433655,0,0
A1_l1.0,A1,5,35725a87-15ce-4373-8456-214188818afb,3,593,6890,0.3767109513282776,3,1
A1_l1.0,A1,6,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,11315,0.36564165353775024,3,1
A1_l1.0,A1,7,48b41502-2e76-4bfd-9d96-be8af9312a55,84,5473,16788,0.3507111072540283,4,2
A1_l1.0,A1,8,cdf91933-b446-4536-a8e2-abc867cd0704,45,3527,20315,0.3168864846229553,4,2
A1_l1.0,A1,9,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,24485,0.30433398485183716,4,2
A1_l1.0,A1,10,70351c1e-c8bb-4a20-8925-559b39e0e936,110,4472,28957,0.30035704374313354,7,3
A1_l1.0,A1,11,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,3000,31957,0.2848796844482422,7,3
A2_r0.0,A2,1,cc4ebc0a-8851-4bf5-883d-0b070dd6f174,66,4278,4329,31.977358788251877,0,0
A2_r0.0,A2,2,c2a71b45-9105-44d2-9800-e2b2ea7609e6,56,3116,7445,7.458286285400391,3,1
A2_r0.0,A2,3,2423ce0b-c305-4d63-820c-d31b616dd8c8,5,1665,9110,5.070995330810547,8,2
A2_r0.0,A2,4,0c23cfc6-9d76-4b21-a51b-ba4ae395c86a,102,3269,12379,2.3955726623535156,12,3
A2_r0.0,A2,5,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,13276,2.2186355590820312,12,3
A2_r0.0,A2,6,217374b8-4b90-4b31-aa4c-d65066b26200,67,3070,16346,1.7789878845214844,12,3
A2_r0.0,A2,7,e86465f5-5719-402c-99f2-cf56214cf969,21,4502,20848,1.6938247680664062,12,3
A2_r0.0,A2,8,456f82bd-a793-428f-96b8-2d2ed8df336c,29,3997,24845,1.6196327209472656,12,3
A2_r0.0,A2,9,e69975a2-ebc5-47f3-8f71-2edc23ebc446,46,4426,29271,1.2284698486328125,12,3
A2_r0.0,A2,10,0bf1f893-db4c-43d4-a49f-638299e19b0a,59,2292,31563,1.1529273986816406,13,3
A2_r0.0,A2,11,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,417,31980,0.5889549255371094,13,3
A2_r0.5,A2,1,dd904725-094b-4f94-a8fc-ca18668ad246,113,358,409,0.8373970086481022,3,1
A2_r0.5,A2,2,217374b8-4b90-4b31-aa4c-d65066b26200,67,3070,3479,0.3676582071936943,3,1
A2_r0.5,A2,3,7307e832-370a-43ea-b25b-449f929de49e,115,597,4076,0.11799081339877149,4,2
A2_r0.5,A2,4,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,4440,0.09771865844083145,4,2
A2_r0.5,A2,5,cc4ebc0a-8851-4bf5-883d-0b070dd6f174,66,4278,8718,0.0739932535007206,4,2
A2_r0.5,A2,6,c2a71b45-9105-44d2-9800-e2b2ea7609e6,56,3116,11834,0.056214857568062125,6,2
A2_r0.5,A2,7,77a1d148-12da-4a70-874d-42e816497c9a,118,773,12607,0.04986541870307316,10,3
A2_r0.5,A2,8,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,417,13024,0.04172604030685368,12,3
A2_r0.5,A2,9,0c23cfc6-9d76-4b21-a51b-ba4ae395c86a,102,3269,16293,0.031241327267787673,12,3
A2_r0.5,A2,10,c9bfd1d1-914b-4200-9f91-603edafd4bd8,28,3695,19988,0.028048011792264314,12,3
A2_r0.5,A2,11,456f82bd-a793-428f-96b8-2d2ed8df336c,29,3997,23985,0.024693204164979842,12,3
A2_r0.5,A2,12,dc96fb4f-c389-4a81-ba3f-e109e814eea5,7,3232,27217,0.01929462150475032,12,3
A2_r0.5,A2,13,e69975a2-ebc5-47f3-8f71-2edc23ebc446,46,4426,31643,0.018417582081606418,12,3
A2_r1.0,A2,1,dd904725-094b-4f94-a8fc-ca18668ad246,113,358,409,0.04425780712913035,3,1
A2_r1.0,A2,2,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,773,0.013483464062868893,3,1
A2_r1.0,A2,3,7307e832-370a-43ea-b25b-449f929de49e,115,597,1370,0.008233643856080533,4,2
A2_r1.0,A2,4,77a1d148-12da-4a70-874d-42e816497c9a,118,773,2143,0.005196473885322759,8,3
A2_r1.0,A2,5,217374b8-4b90-4b31-aa4c-d65066b26200,67,3070,5213,0.004326430205801799,8,3
A2_r1.0,A2,6,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,417,5630,0.002074573251555006,10,3
A2_r1.0,A2,7,4c611a05-6ad0-434a-a188-1cdb941acf58,116,994,6624,0.0013711687544701804,11,3
A2_r1.0,A2,8,cc4ebc0a-8851-4bf5-883d-0b070dd6f174,66,4278,10902,0.0010063649338503317,11,3
A2_r1.0,A2,9,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,11799,0.0006438545558763587,11,3
A2_r1.0,A2,10,c2a71b45-9105-44d2-9800-e2b2ea7609e6,56,3116,14915,0.0006366614658811126,12,3
A2_r1.0,A2,11,35725a87-15ce-4373-8456-214188818afb,3,593,15508,0.0006270255849494098,12,3
A2_r1.0,A2,12,0c23cfc6-9d76-4b21-a51b-ba4ae395c86a,102,3269,18777,0.0005464142489849008,12,3
A2_r1.0,A2,13,2423ce0b-c305-4d63-820c-d31b616dd8c8,5,1665,20442,0.00046356705215958147,12,3
A2_r1.0,A2,14,c9bfd1d1-914b-4200-9f91-603edafd4bd8,28,3695,24137,0.0003965798508330514,12,3
A2_r1.0,A2,15,dc96fb4f-c389-4a81-ba3f-e109e814eea5,7,3232,27369,0.0003771923556186185,12,3
A2_r1.0,A2,16,456f82bd-a793-428f-96b8-2d2ed8df336c,29,3997,31366,0.00033375881062408134,12,3
A3_l0.0_r0.0_k02,A3,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.5341364145278931,0,0
A3_l0.0_r0.0_k02,A3,2,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,1716,0.4941784143447876,0,0
A3_l0.0_r0.0_k02,A3,3,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,2080,0.49203765392303467,0,0
A3_l0.0_r0.0_k02,A3,4,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,6297,0.40216222405433655,0,0
A3_l0.0_r0.0_k02,A3,5,35725a87-15ce-4373-8456-214188818afb,3,593,6890,0.3767109513282776,3,1
A3_l0.0_r0.0_k02,A3,6,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,11315,0.36564165353775024,3,1
A3_l0.0_r0.0_k02,A3,7,48b41502-2e76-4bfd-9d96-be8af9312a55,84,5473,16788,0.3507111072540283,4,2
A3_l0.0_r0.0_k02,A3,8,cdf91933-b446-4536-a8e2-abc867cd0704,45,3527,20315,0.3168864846229553,4,2
