configuration_id,arm,pool,lambda,r,k,q11_fact_count,q11_domain_count,civil,art,monetary,marine,serialized_chars,selected_episode_count,facts_per_10k_chars,prior_answer_fraction,oracle_overlap,optimality_ratio,targeted_preserved,targeted_required,primary_gate,no_regression_gate,surrogate_gate
A3_l0.7_r0.0_k04,A3,cosine_top_100,0.7,0.0,4,5,2,4,0,1,0,31744,12,1.575,0.083,1,0.9814,,16,False,False,False
A3_l0.7_r0.0_k08,A3,cosine_top_100,0.7,0.0,8,8,2,5,0,0,3,31664,11,2.527,0.0,0,0.974,,16,True,False,False
A3_l0.7_r0.0_k16,A3,cosine_top_100,0.7,0.0,16,11,3,5,2,0,4,31996,11,3.438,0.091,0,0.9995,,16,True,False,False
A3_l0.7_r0.5_k02,A3,cosine_top_100,0.7,0.5,2,11,4,5,1,1,4,31633,15,3.477,0.267,3,0.9937,,16,True,False,True
A3_l0.7_r0.5_k04,A3,cosine_top_100,0.7,0.5,4,12,4,5,2,1,4,31413,16,3.82,0.312,4,0.9939,,16,True,False,True
A3_l0.7_r0.5_k08,A3,cosine_top_100,0.7,0.5,8,10,3,5,1,0,4,31693,15,3.155,0.267,3,0.9967,,16,True,False,False
A3_l0.7_r0.5_k16,A3,cosine_top_100,0.7,0.5,16,11,3,5,2,0,4,31286,16,3.516,0.25,3,0.9852,,16,True,False,False
A3_l0.7_r1.0_k02,A3,cosine_top_100,0.7,1.0,2,11,3,5,2,0,4,31862,17,3.452,0.294,4,0.9983,,16,True,False,False
A3_l0.7_r1.0_k04,A3,cosine_top_100,0.7,1.0,4,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9944,,16,True,False,False
A3_l0.7_r1.0_k08,A3,cosine_top_100,0.7,1.0,8,11,3,5,2,0,4,30805,16,3.571,0.312,4,0.989,,16,True,False,False
A3_l0.7_r1.0_k16,A3,cosine_top_100,0.7,1.0,16,12,3,5,3,0,4,30705,17,3.908,0.294,4,0.974,,16,True,False,False
A3_l0.8_r0.0_k02,A3,cosine_top_100,0.8,0.0,2,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9946,,16,True,False,False
A3_l0.8_r0.0_k04,A3,cosine_top_100,0.8,0.0,4,5,2,4,0,1,0,31744,12,1.575,0.083,1,0.9824,,16,False,False,False
A3_l0.8_r0.0_k08,A3,cosine_top_100,0.8,0.0,8,8,2,5,0,0,3,31664,11,2.527,0.0,0,0.976,,16,True,False,False
A3_l0.8_r0.0_k16,A3,cosine_top_100,0.8,0.0,16,11,3,5,2,0,4,31996,11,3.438,0.091,0,0.9996,,16,True,False,False
A3_l0.8_r0.5_k02,A3,cosine_top_100,0.8,0.5,2,11,4,5,1,1,4,31633,15,3.477,0.267,3,0.9939,,16,True,False,True
A3_l0.8_r0.5_k04,A3,cosine_top_100,0.8,0.5,4,12,4,5,2,1,4,31413,16,3.82,0.312,4,0.9941,,16,True,False,True
A3_l0.8_r0.5_k08,A3,cosine_top_100,0.8,0.5,8,10,3,5,1,0,4,31693,15,3.155,0.267,3,0.9969,,16,True,False,False
A3_l0.8_r0.5_k16,A3,cosine_top_100,0.8,0.5,16,11,3,5,2,0,4,31286,16,3.516,0.25,3,0.9847,,16,True,False,False
A3_l0.8_r1.0_k02,A3,cosine_top_100,0.8,1.0,2,11,3,5,2,0,4,31862,17,3.452,0.294,4,0.9984,,16,True,False,False
A3_l0.8_r1.0_k04,A3,cosine_top_100,0.8,1.0,4,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9947,,16,True,False,False
A3_l0.8_r1.0_k08,A3,cosine_top_100,0.8,1.0,8,11,3,5,2,0,4,30805,16,3.571,0.312,4,0.9898,,16,True,False,False
A3_l0.8_r1.0_k16,A3,cosine_top_100,0.8,1.0,16,11,3,5,2,0,4,31929,18,3.445,0.278,4,0.9985,,16,True,False,False
A3_l0.9_r0.0_k02,A3,cosine_top_100,0.9,0.0,2,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9948,,16,True,False,False
A3_l0.9_r0.0_k04,A3,cosine_top_100,0.9,0.0,4,5,2,4,0,1,0,31744,12,1.575,0.083,1,0.9832,,16,False,False,False
A3_l0.9_r0.0_k08,A3,cosine_top_100,0.9,0.0,8,8,2,5,0,0,3,31664,11,2.527,0.0,0,0.9777,,16,True,False,False
A3_l0.9_r0.0_k16,A3,cosine_top_100,0.9,0.0,16,11,3,5,2,0,4,31996,11,3.438,0.091,0,0.9996,,16,True,False,False
A3_l0.9_r0.5_k02,A3,cosine_top_100,0.9,0.5,2,11,4,5,1,1,4,31633,15,3.477,0.267,3,0.994,,16,True,False,True
A3_l0.9_r0.5_k04,A3,cosine_top_100,0.9,0.5,4,12,4,5,2,1,4,31413,16,3.82,0.312,4,0.9944,,16,True,False,True
A3_l0.9_r0.5_k08,A3,cosine_top_100,0.9,0.5,8,10,3,5,1,0,4,31693,15,3.155,0.267,3,0.9972,,16,True,False,False
A3_l0.9_r0.5_k16,A3,cosine_top_100,0.9,0.5,16,11,3,5,2,0,4,31286,16,3.516,0.25,3,0.9843,,16,True,False,False
A3_l0.9_r1.0_k02,A3,cosine_top_100,0.9,1.0,2,11,3,5,2,0,4,31944,17,3.444,0.294,4,0.9994,,16,True,False,False
A3_l0.9_r1.0_k04,A3,cosine_top_100,0.9,1.0,4,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9949,,16,True,False,False
A3_l0.9_r1.0_k08,A3,cosine_top_100,0.9,1.0,8,11,3,5,2,0,4,30805,16,3.571,0.312,4,0.9905,,16,True,False,False
A3_l0.9_r1.0_k16,A3,cosine_top_100,0.9,1.0,16,11,3,5,2,0,4,31929,18,3.445,0.278,4,0.9985,,16,True,False,False
A3_l1.0_r0.0_k02,A3,cosine_top_100,1.0,0.0,2,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9949,,16,True,False,False
A3_l1.0_r0.0_k04,A3,cosine_top_100,1.0,0.0,4,5,2,4,0,1,0,31744,12,1.575,0.083,1,0.984,,16,False,False,False
A3_l1.0_r0.0_k08,A3,cosine_top_100,1.0,0.0,8,8,2,5,0,0,3,31664,11,2.527,0.0,0,0.9792,,16,True,False,False
A3_l1.0_r0.0_k16,A3,cosine_top_100,1.0,0.0,16,11,3,5,2,0,4,31996,11,3.438,0.091,0,0.9996,,16,True,False,False
A3_l1.0_r0.5_k02,A3,cosine_top_100,1.0,0.5,2,11,4,5,1,1,4,31633,15,3.477,0.267,3,0.9942,,16,True,False,True
A3_l1.0_r0.5_k04,A3,cosine_top_100,1.0,0.5,4,12,4,5,2,1,4,31413,16,3.82,0.312,4,0.9947,,16,True,False,True
A3_l1.0_r0.5_k08,A3,cosine_top_100,1.0,0.5,8,10,3,5,1,0,4,31693,15,3.155,0.267,3,0.9973,,16,True,False,False
A3_l1.0_r0.5_k16,A3,cosine_top_100,1.0,0.5,16,11,3,5,2,0,4,31882,14,3.45,0.286,3,0.995,,16,True,False,False
A3_l1.0_r1.0_k02,A3,cosine_top_100,1.0,1.0,2,11,3,5,2,0,4,31944,17,3.444,0.294,4,0.9994,,16,True,False,False
A3_l1.0_r1.0_k04,A3,cosine_top_100,1.0,1.0,4,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9951,,16,True,False,False
A3_l1.0_r1.0_k08,A3,cosine_top_100,1.0,1.0,8,11,3,5,2,0,4,30805,16,3.571,0.312,4,0.9911,,16,True,False,False
A3_l1.0_r1.0_k16,A3,cosine_top_100,1.0,1.0,16,13,3,5,4,0,4,31648,18,4.108,0.278,4,0.9924,,16,True,False,False
A1_l0.0,A1,deployed_n_union_k,0.0,,,7,3,5,0,1,1,31313,10,2.235,0.2,1,,,16,True,False,False
A1_l0.1,A1,deployed_n_union_k,0.1,,,13,3,5,0,4,4,31897,12,4.076,0.167,2,,,16,True,False,False
A1_l0.2,A1,deployed_n_union_k,0.2,,,6,3,4,0,1,1,31957,10,1.878,0.2,1,,,16,False,False,False
