turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
67,0,5,1,4,4,"[{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""6645db69-528d-4833-b9d3-4e894c4bf4ca"",""provenance"":""ltm""},{""episode_id"":""6f398470-dc79-4a0f-9762-c1f047148dd6"",""provenance"":""ltm""}]"
68,0,5,1,4,4,"[{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""}]"
69,0,5,0,5,5,"[{""episode_id"":""58b87a06-1d65-482e-82ca-e441f597d2f5"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""6645db69-528d-4833-b9d3-4e894c4bf4ca"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""}]"
70,0,5,1,4,4,"[{""episode_id"":""9eb68599-4336-4534-a101-1c03a3aefcd7"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""84de3f06-413b-4381-9c06-a1480280b98a"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
71,0,5,1,4,4,"[{""episode_id"":""e40e8a45-3bb1-4730-bcb0-f54ad88a061b"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""9eb68599-4336-4534-a101-1c03a3aefcd7"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""}]"
72,0,5,2,3,3,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""774c7738-c3d7-4a39-96ad-7e35bebe36f5"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
73,0,5,1,4,4,"[{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""774c7738-c3d7-4a39-96ad-7e35bebe36f5"",""provenance"":""ltm""}]"
74,0,5,1,4,4,"[{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""}]"
75,0,5,0,5,5,"[{""episode_id"":""2936f497-174b-47b9-a7dd-111508dfa8ee"",""provenance"":""ltm""},{""episode_id"":""132cc227-3c2b-42b5-8eb3-ef89dddc3988"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""d30a1528-6343-4f70-aac9-7c9e51f5f9c3"",""provenance"":""ltm""},{""episode_id"":""6f398470-dc79-4a0f-9762-c1f047148dd6"",""provenance"":""ltm""}]"
76,0,5,0,5,5,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""8b10925d-f9e4-494c-b2f0-ea16f5ad80f9"",""provenance"":""ltm""},{""episode_id"":""9eb68599-4336-4534-a101-1c03a3aefcd7"",""provenance"":""ltm""},{""episode_id"":""96c396c3-ba07-45e9-b71a-5ff3db44706d"",""provenance"":""ltm""},{""episode_id"":""774c7738-c3d7-4a39-96ad-7e35bebe36f5"",""provenance"":""ltm""}]"
