turn,episode_id,episode_turn,topic,similarity,provenance,promoted_at_turn,trigger_type,triggered_filter,distilled_id,dream_event,event_type,source_episode_ids,source_turns,salience
67,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.3219752609729767,ltm,,,,ef885fef-be3f-59d9-b34f-6a8cff3b05bc,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],5
67,6645db69-528d-4833-b9d3-4e894c4bf4ca,38,topic_3,0.3151858150959015,ltm,,,,8f33be8b-c001-514c-be0c-3ce7c70f2a89,61,transition,"[""6645db69-528d-4833-b9d3-4e894c4bf4ca""]",[38],6
67,6f398470-dc79-4a0f-9762-c1f047148dd6,31,topic_3,0.3053186237812042,ltm,,,,577e4ca6-ae25-501a-b431-58c7e353d982,61,transition,"[""6f398470-dc79-4a0f-9762-c1f047148dd6""]",[31],6
68,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.3749869167804718,ltm,,,,9a448704-637c-543d-b083-444cdbfba374,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],4
68,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.37129056453704834,ltm,,,,71579f66-35e0-58db-bd2d-b5092b1c21d0,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],5
68,28e337c5-614e-40ca-9738-b3b229715577,8,topic_2,0.3443627655506134,ltm,,,,0b42ddd5-b4e5-5bed-93a3-1c5874433596,31,transition,"[""28e337c5-614e-40ca-9738-b3b229715577""]",[8],6
68,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.3193519413471222,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
69,58b87a06-1d65-482e-82ca-e441f597d2f5,48,topic_3,0.4188271164894104,ltm,,,,d645733f-7bfc-538d-a1a6-91510c817876,61,transition,"[""58b87a06-1d65-482e-82ca-e441f597d2f5""]",[48],6
69,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.40704792737960815,ltm,,,,9a448704-637c-543d-b083-444cdbfba374,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],4
69,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.40074291825294495,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
69,6645db69-528d-4833-b9d3-4e894c4bf4ca,38,topic_3,0.39772191643714905,ltm,,,,8f33be8b-c001-514c-be0c-3ce7c70f2a89,61,transition,"[""6645db69-528d-4833-b9d3-4e894c4bf4ca""]",[38],6
69,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.393473744392395,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],3
70,9eb68599-4336-4534-a101-1c03a3aefcd7,18,topic_2,0.30429649353027344,ltm,,,,7188a7bd-b8dc-5e14-87e4-8106c4d50bbe,31,transition,"[""9eb68599-4336-4534-a101-1c03a3aefcd7""]",[18],5
70,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.27812659740448,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
70,84de3f06-413b-4381-9c06-a1480280b98a,13,topic_2,0.24731861054897308,ltm,,,,737707a1-a068-5826-9cf2-7a484caa02d4,31,transition,"[""84de3f06-413b-4381-9c06-a1480280b98a""]",[13],6
70,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.24208267033100128,ltm,,,,9a448704-637c-543d-b083-444cdbfba374,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],4
71,e40e8a45-3bb1-4730-bcb0-f54ad88a061b,17,topic_2,0.24006308615207672,ltm,,,,0c36ce08-05f2-52c7-b5f2-aa9da621b064,31,transition,"[""e40e8a45-3bb1-4730-bcb0-f54ad88a061b""]",[17],15
71,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.2364356517791748,ltm,,,,9a448704-637c-543d-b083-444cdbfba374,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],4
71,9eb68599-4336-4534-a101-1c03a3aefcd7,18,topic_2,0.2358475625514984,ltm,,,,7188a7bd-b8dc-5e14-87e4-8106c4d50bbe,31,transition,"[""9eb68599-4336-4534-a101-1c03a3aefcd7""]",[18],5
71,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.21313025057315826,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],3
72,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.3427812159061432,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
72,774c7738-c3d7-4a39-96ad-7e35bebe36f5,16,topic_2,0.34190502762794495,ltm,,,,0b75fc29-2e46-5ad8-9523-832797dfbd57,31,transition,"[""774c7738-c3d7-4a39-96ad-7e35bebe36f5""]",[16],8
72,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.3331180810928345,ltm,,,,0d58845a-6ff3-52b6-8e5b-4d9107f251d5,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],10
73,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.2957700192928314,ltm,,,,86577cc7-21ec-5f4d-970e-ee94a1679081,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],3
73,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.28614509105682373,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
73,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.27502670884132385,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],3
73,774c7738-c3d7-4a39-96ad-7e35bebe36f5,16,topic_2,0.25148066878318787,ltm,,,,0b75fc29-2e46-5ad8-9523-832797dfbd57,31,transition,"[""774c7738-c3d7-4a39-96ad-7e35bebe36f5""]",[16],8
74,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.4062422215938568,ltm,,,,9a448704-637c-543d-b083-444cdbfba374,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],4
74,6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0,33,topic_3,0.3849613666534424,ltm,,,,674bb09b-98da-5475-a647-73fa4f152566,61,transition,"[""6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0""]",[33],5
74,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.38483113050460815,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],3
74,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.37835419178009033,ltm,,,,fce7044c-e2e1-5cc3-bfb8-0f0d416645ec,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],5
75,2936f497-174b-47b9-a7dd-111508dfa8ee,59,topic_3,0.31242504715919495,ltm,,,,824e2977-c8b8-5898-aa0a-a6adee403188,61,transition,"[""2936f497-174b-47b9-a7dd-111508dfa8ee""]",[59],9
75,132cc227-3c2b-42b5-8eb3-ef89dddc3988,43,topic_3,0.2881907820701599,ltm,,,,e9713501-f608-5173-a075-2ac12e81c583,61,transition,"[""132cc227-3c2b-42b5-8eb3-ef89dddc3988""]",[43],6
75,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.284060537815094,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
75,d30a1528-6343-4f70-aac9-7c9e51f5f9c3,50,topic_3,0.2806400954723358,ltm,,,,2e557af1-c0a3-55fd-96f8-31f207cc5a7f,61,transition,"[""d30a1528-6343-4f70-aac9-7c9e51f5f9c3""]",[50],3
75,6f398470-dc79-4a0f-9762-c1f047148dd6,31,topic_3,0.2800162434577942,ltm,,,,2953a167-d8df-53f1-ae10-5ad30ad2766b,61,transition,"[""6f398470-dc79-4a0f-9762-c1f047148dd6""]",[31],11
76,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.3439750075340271,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
76,8b10925d-f9e4-494c-b2f0-ea16f5ad80f9,49,topic_3,0.2930167615413666,ltm,,,,bf2102ed-4807-59d4-9f5a-07f1f9ab72cc,61,transition,"[""8b10925d-f9e4-494c-b2f0-ea16f5ad80f9""]",[49],4
76,9eb68599-4336-4534-a101-1c03a3aefcd7,18,topic_2,0.28913140296936035,ltm,,,,7188a7bd-b8dc-5e14-87e4-8106c4d50bbe,31,transition,"[""9eb68599-4336-4534-a101-1c03a3aefcd7""]",[18],5
76,96c396c3-ba07-45e9-b71a-5ff3db44706d,22,topic_2,0.28465303778648376,ltm,,,,fbeaeb75-f073-5902-9779-1721fff9ccfd,31,transition,"[""96c396c3-ba07-45e9-b71a-5ff3db44706d""]",[22],3
76,774c7738-c3d7-4a39-96ad-7e35bebe36f5,16,topic_2,0.27975624799728394,ltm,,,,0b75fc29-2e46-5ad8-9523-832797dfbd57,31,transition,"[""774c7738-c3d7-4a39-96ad-7e35bebe36f5""]",[16],8
