turn,episode_id,episode_turn,topic,novelty,repetition,association,global_association,emotional,weighted_score,promoted,trigger_type,triggered_filter
91,bf147734-c346-4b47-8d9e-89879fa5d5dd,76,topic_4,0.7387343049049377,1.0,0.2426415979862213,0.26126569509506226,0.0,0.6070853263139725,True,all_or_nothing,repetition
91,64e43e2b-b31f-4583-899a-03b742671afd,77,topic_4,0.6563198268413544,0.2,0.34994736313819885,0.34368017315864563,0.0,0.3597014120221138,False,,
91,4f1d9e17-e741-4ffd-bffe-a469f4cfffd2,78,topic_4,0.7058144807815552,0.2,0.2774098515510559,0.2941855192184448,0.1,0.3775170385837555,False,,
91,617d4d34-d7c3-4841-b4fa-cbdf5dcc0680,79,topic_4,0.6672845184803009,0.2,0.31078842282295227,0.3327154815196991,0.0,0.35570726603269576,False,,
91,b3f5cda4-3623-436e-837c-0bee3bfb98c4,80,topic_4,0.6982216835021973,0.2,0.2934532165527344,0.30177831649780273,0.1,0.37806823253631594,False,,
91,2d3219c6-3c65-486a-b74e-f1869856512e,81,topic_4,0.8124511539936066,0.2,0.18599766492843628,0.18754884600639343,0.0,0.3815574368834495,False,,
91,698af703-82ac-42ce-89cf-64dfb2f5bca7,82,topic_4,0.6247115135192871,0.2,0.3676164746284485,0.3752884864807129,0.0,0.3521723246574402,False,,
91,398fdc3b-5dfc-4d1e-974c-3b79db1e3d76,83,topic_4,0.6673285067081451,0.2,0.3295215964317322,0.33267149329185486,0.1,0.37446929663419726,False,,
91,d9a973c3-8313-4353-bbe4-257e0bdeb03c,84,topic_4,0.6549891531467438,0.2,0.3286907374858856,0.3450108468532562,0.05,0.36248435109853744,False,,
91,71ea7674-7442-457e-9d54-52f79a85c659,85,topic_4,0.6691927015781403,0.2,0.33079561591148376,0.33080729842185974,0.0,0.36037656873464585,False,,
91,6b65f7b0-8c69-4f4d-bea9-48576c911e0c,86,topic_4,0.6712519526481628,0.2,0.31837424635887146,0.32874804735183716,0.0,0.35861303269863126,False,,
91,eaf581ad-1364-4ece-885d-c293ba21fe7f,87,topic_4,0.7104761600494385,0.2,0.2784341871738434,0.2895238399505615,0.05,0.37185349345207214,False,,
91,217d1b9c-f473-48af-ac0d-92e8be2c0b15,88,topic_4,0.6193680763244629,0.2,0.37710854411125183,0.3806319236755371,0.0,0.3522005355358124,False,,
91,aa5d0733-7800-4d23-82d8-dcd0ce590685,89,topic_4,0.5944094955921173,0.2,0.4031616449356079,0.4055905044078827,0.1,0.3636756524443626,False,,
91,682bbe04-4215-4ad8-a18f-1163d240a5a3,90,topic_4,0.7780351787805557,0.2,0.21739426255226135,0.22196482121944427,0.1,0.39079116508364675,False,,
111,771a56c8-e3a8-4243-91fd-ce1d4e963a8d,91,topic_5,0.7159240543842316,0.2,0.2973180115222931,0.28407594561576843,0.1,0.3850370213389397,False,,
111,806150e0-fc51-4ea3-8b97-38d96dcf27d6,92,topic_5,0.6982648372650146,0.2,0.2714134156703949,0.30173516273498535,0.0,0.35867537617683404,False,,
111,dfb144f5-2291-4260-a778-f28524e13765,93,topic_5,0.6039923429489136,0.2,0.3717043399810791,0.3960076570510864,0.0,0.34573818802833556,False,,
111,2ded0199-42e4-44a6-be6c-7659a0ca743e,94,topic_5,0.6548800766468048,0.2,0.35869166254997253,0.3451199233531952,0.0,0.3609463593363762,False,,
111,cbed0b59-a99f-43b0-b3a5-f6530ba3b953,95,topic_5,0.8359106481075287,0.2,0.1590181142091751,0.1640893518924713,0.1,0.39937234967947005,False,,
111,0d3d92fa-44d0-419a-a6e8-d745801dc1db,96,topic_5,0.7224083840847015,0.4,0.24697856605052948,0.27759161591529846,0.1,0.4372386476397514,False,,
111,e6e6ef3b-7595-4bf4-867b-9e7da3811389,97,topic_5,0.7383984327316284,0.2,0.22448348999023438,0.2616015672683716,0.1,0.37833614945411687,False,,
111,b8ba0ea5-2c72-4180-82f8-cc5d6b290dd6,98,topic_5,0.7183559536933899,0.2,0.2690258026123047,0.2816440463066101,0.0,0.3652297443151474,False,,
